DATE,W875RX1
8/1/2012,12061.8
9/1/2012,12161.3
10/1/2012,12268.6
11/1/2012,12457.7
12/1/2012,12812.9
1/1/2013,12052.3
2/1/2013,12028.1
3/1/2013,12065.8
4/1/2013,12133.9
5/1/2013,12186.3
6/1/2013,12182.7
7/1/2013,12155
8/1/2013,12176.8
9/1/2013,12235.2
10/1/2013,12189
11/1/2013,12228
12/1/2013,12256.4
1/1/2014,12325.9
2/1/2014,12398.8
3/1/2014,12463
4/1/2014,12494.1
5/1/2014,12517.4
6/1/2014,12562.1
7/1/2014,12593.5
8/1/2014,12657.1
9/1/2014,12701.3
10/1/2014,12769.9
11/1/2014,12848.6
12/1/2014,12933.1
1/1/2015,13038.7
2/1/2015,13086.9
3/1/2015,13043.4
4/1/2015,13080.5
5/1/2015,13108.5
6/1/2015,13116.2
7/1/2015,13138.7
8/1/2015,13165.5
9/1/2015,13200.8
10/1/2015,13235.8
11/1/2015,13227.7
12/1/2015,13278.2
1/1/2016,13294.9
2/1/2016,13288.1
3/1/2016,13286.4
4/1/2016,13263
5/1/2016,13253.1
6/1/2016,13272.8
7/1/2016,13334.6
8/1/2016,13344.9
9/1/2016,13385.3
10/1/2016,13402.3
11/1/2016,13450.8
12/1/2016,13499.3
1/1/2017,13541.3
2/1/2017,13589.2
3/1/2017,13642.8
4/1/2017,13682.6
5/1/2017,13780.7
6/1/2017,13790.9
7/1/2017,13837.7
8/1/2017,13860.4
9/1/2017,13903.9
10/1/2017,13963.2
11/1/2017,14028.2
12/1/2017,14062.3
1/1/2018,14042.8
2/1/2018,14068.6
3/1/2018,14103
4/1/2018,14121.8
5/1/2018,14163.6
6/1/2018,14226
7/1/2018,14298.5
8/1/2018,14356.7
9/1/2018,14354
10/1/2018,14370.2
11/1/2018,14411.1
12/1/2018,14599.3
1/1/2019,14565.8
2/1/2019,14629
3/1/2019,14662.8
4/1/2019,14638.4
5/1/2019,14636
6/1/2019,14651.8
7/1/2019,14644.9
8/1/2019,14724
9/1/2019,14754.4
10/1/2019,14786.9
11/1/2019,14864.1
12/1/2019,14792.5
1/1/2020,14966.4
2/1/2020,15051
3/1/2020,14686.1
4/1/2020,13798.2
5/1/2020,14117
6/1/2020,14433.6
7/1/2020,14567.8
8/1/2020,14732
9/1/2020,14899.2
10/1/2020,15128.9
11/1/2020,15110.8
12/1/2020,15124.8
1/1/2021,15057.7
2/1/2021,15068
3/1/2021,15203.4
4/1/2021,15323.2
5/1/2021,15393.1
6/1/2021,15440.9
7/1/2021,15491.1
8/1/2021,15480.9
9/1/2021,15513.3
10/1/2021,15565.9
11/1/2021,15560.6
12/1/2021,15500.8
1/1/2022,15399
2/1/2022,15379.6
3/1/2022,15315.8
4/1/2022,15315.5
5/1/2022,15304.5
6/1/2022,15242.6
7/1/2022,15386.7
8/1/2022,15434.7
9/1/2022,15466.3
10/1/2022,15426.4
11/1/2022,15405.3
12/1/2022,15402.2
1/1/2023,15496.1
2/1/2023,15529.2
3/1/2023,15596.8
4/1/2023,15592.2
5/1/2023,15622.4
6/1/2023,15638
7/1/2023,15680
8/1/2023,15710.9
9/1/2023,15741.5
10/1/2023,15785
