DATE,RETAIL
1999-07-01,250003
1999-08-01,253458
1999-09-01,253910
1999-10-01,254867
1999-11-01,258115
1999-12-01,262516
2000-01-01,263234
2000-02-01,266799
2000-03-01,269748
2000-04-01,267221
2000-05-01,267417
2000-06-01,268436
2000-07-01,270645
2000-08-01,270549
2000-09-01,272714
2000-10-01,272490
2000-11-01,270931
2000-12-01,271347
2001-01-01,274912
2001-02-01,274329
2001-03-01,273337
2001-04-01,275549
