Date,BAA_AAA
2011-02-01,0.93000
2011-03-01,0.90000
2011-04-01,0.86000
2011-05-01,0.82000
2011-06-01,0.76000
2011-07-01,0.83000
2011-08-01,0.99000
2011-09-01,1.18000
2011-10-01,1.39000
2011-11-01,1.27000
2011-12-01,1.32000
2012-01-01,1.38000
2012-02-01,1.29000
2012-03-01,1.24000
2012-04-01,1.23000
2012-05-01,1.27000
2012-06-01,1.38000
2012-07-01,1.47000
2012-08-01,1.43000
2012-09-01,1.35000
2012-10-01,1.11000
2012-11-01,1.01000
2012-12-01,0.98000
