DATE,INDPRO
10/1/1946,13.3358
11/1/1946,13.4165
12/1/1946,13.4971
1/1/1947,13.6585
2/1/1947,13.7391
3/1/1947,13.8198
4/1/1947,13.7122
5/1/1947,13.766
6/1/1947,13.766
7/1/1947,13.6853
8/1/1947,13.766
9/1/1947,13.8736
10/1/1947,14.008
11/1/1947,14.1962
12/1/1947,14.25
1/1/1948,14.3306
2/1/1948,14.3575
3/1/1948,14.1962
4/1/1948,14.2231
5/1/1948,14.4651
6/1/1948,14.6533
7/1/1948,14.6533
8/1/1948,14.5995
9/1/1948,14.4919
10/1/1948,14.5995
11/1/1948,14.4113
12/1/1948,14.2768
1/1/1949,14.1424
2/1/1949,14.008
3/1/1949,13.7391
4/1/1949,13.6585
5/1/1949,13.4702
6/1/1949,13.4434
7/1/1949,13.4165
8/1/1949,13.5509
9/1/1949,13.6854
10/1/1949,13.1745
11/1/1949,13.524
12/1/1949,13.766
1/1/1950,14.008
2/1/1950,14.0618
3/1/1950,14.5188
4/1/1950,15.0028
5/1/1950,15.3523
6/1/1950,15.8094
7/1/1950,16.3202
8/1/1950,16.8311
9/1/1950,16.7235
10/1/1950,16.8311
11/1/1950,16.8042
12/1/1950,17.1
1/1/1951,17.1537
2/1/1951,17.2613
3/1/1951,17.3419
4/1/1951,17.3688
5/1/1951,17.3151
6/1/1951,17.2344
7/1/1951,16.9655
8/1/1951,16.8042
9/1/1951,16.9118
10/1/1951,16.8849
11/1/1951,17.0193
12/1/1951,17.1268
1/1/1952,17.315
2/1/1952,17.4226
3/1/1952,17.4764
4/1/1952,17.315
5/1/1952,17.1537
6/1/1952,16.9924
7/1/1952,16.7235
8/1/1952,17.799
9/1/1952,18.4443
10/1/1952,18.6325
11/1/1952,19.0089
12/1/1952,19.1164
1/1/1953,19.1702
2/1/1953,19.2778
3/1/1953,19.4391
4/1/1953,19.5198
5/1/1953,19.6273
6/1/1953,19.5466
7/1/1953,19.7886
8/1/1953,19.6811
9/1/1953,19.2778
10/1/1953,19.1165
11/1/1953,18.6594
12/1/1953,18.2023
1/1/1954,18.0679
2/1/1954,18.1217
3/1/1954,18.0141
4/1/1954,17.9066
5/1/1954,18.0141
6/1/1954,18.0679
7/1/1954,18.0948
8/1/1954,18.0679
9/1/1954,18.0948
10/1/1954,18.3099
11/1/1954,18.6056
12/1/1954,18.8476
1/1/1955,19.2778
2/1/1955,19.5198
3/1/1955,19.9768
4/1/1955,20.2188
5/1/1955,20.5414
6/1/1955,20.5684
7/1/1955,20.7297
8/1/1955,20.7028
9/1/1955,20.8372
10/1/1955,21.1867
11/1/1955,21.2405
12/1/1955,21.3212
1/1/1956,21.4556
2/1/1956,21.2674
3/1/1956,21.2674
4/1/1956,21.4287
5/1/1956,21.2405
6/1/1956,21.0523
7/1/1956,20.407
8/1/1956,21.2405
9/1/1956,21.7245
10/1/1956,21.9127
11/1/1956,21.7245
12/1/1956,22.0471
1/1/1957,21.9665
2/1/1957,22.1816
3/1/1957,22.1547
4/1/1957,21.8589
5/1/1957,21.7782
6/1/1957,21.832
7/1/1957,21.9665
8/1/1957,21.9665
9/1/1957,21.7783
10/1/1957,21.4556
11/1/1957,20.9448
12/1/1957,20.5414
1/1/1958,20.165
2/1/1958,19.7349
3/1/1958,19.4929
4/1/1958,19.1702
5/1/1958,19.3584
6/1/1958,19.8693
7/1/1958,20.165
8/1/1958,20.5683
9/1/1958,20.7566
10/1/1958,20.9985
11/1/1958,21.6169
12/1/1958,21.6438
1/1/1959,21.9665
2/1/1959,22.3966
3/1/1959,22.7193
4/1/1959,23.2032
5/1/1959,23.5528
6/1/1959,23.5797
7/1/1959,23.015
8/1/1959,22.2353
9/1/1959,22.2084
10/1/1959,22.0471
11/1/1959,22.1816
12/1/1959,23.5528
1/1/1960,24.1712
2/1/1960,23.9561
3/1/1960,23.741
4/1/1960,23.5528
5/1/1960,23.5259
6/1/1960,23.2301
7/1/1960,23.1495
8/1/1960,23.1226
9/1/1960,22.8806
10/1/1960,22.8537
11/1/1960,22.5311
12/1/1960,22.1009
1/1/1961,22.1278
2/1/1961,22.1009
3/1/1961,22.2353
4/1/1961,22.6924
5/1/1961,23.0419
6/1/1961,23.3646
7/1/1961,23.6334
8/1/1961,23.8485
9/1/1961,23.8217
10/1/1961,24.2787
11/1/1961,24.6551
12/1/1961,24.8702
1/1/1962,24.6551
2/1/1962,25.0584
3/1/1962,25.1929
4/1/1962,25.2466
5/1/1962,25.2197
6/1/1962,25.166
7/1/1962,25.4079
8/1/1962,25.4348
9/1/1962,25.5962
10/1/1962,25.6231
11/1/1962,25.7306
12/1/1962,25.7306
1/1/1963,25.9188
2/1/1963,26.2146
3/1/1963,26.3759
4/1/1963,26.6179
5/1/1963,26.9405
6/1/1963,27.0212
7/1/1963,26.9136
8/1/1963,26.9674
9/1/1963,27.2362
10/1/1963,27.4245
11/1/1963,27.5589
12/1/1963,27.5051
1/1/1964,27.7471
2/1/1964,27.9353
3/1/1964,27.9353
4/1/1964,28.3924
5/1/1964,28.5537
6/1/1964,28.6344
7/1/1964,28.8226
8/1/1964,29.0108
9/1/1964,29.1183
10/1/1964,28.715
11/1/1964,29.6023
12/1/1964,29.9518
1/1/1965,30.2744
2/1/1965,30.4627
3/1/1965,30.866
4/1/1965,31.0004
5/1/1965,31.2424
6/1/1965,31.4844
7/1/1965,31.7801
8/1/1965,31.9145
9/1/1965,31.9952
10/1/1965,32.3179
11/1/1965,32.4523
12/1/1965,32.8556
1/1/1966,33.1782
2/1/1966,33.3933
3/1/1966,33.8504
4/1/1966,33.9042
5/1/1966,34.2268
6/1/1966,34.3881
7/1/1966,34.5763
8/1/1966,34.6032
9/1/1966,34.9259
10/1/1966,35.1678
11/1/1966,34.9258
12/1/1966,35.0065
1/1/1967,35.1716
2/1/1967,34.7727
3/1/1967,34.5767
4/1/1967,34.9028
5/1/1967,34.5983
6/1/1967,34.594
7/1/1967,34.5152
8/1/1967,35.1765
9/1/1967,35.1194
10/1/1967,35.4054
11/1/1967,35.9118
12/1/1967,36.2985
1/1/1968,36.2595
2/1/1968,36.3894
3/1/1968,36.503
4/1/1968,36.5558
5/1/1968,36.9659
6/1/1968,37.1017
7/1/1968,37.0448
8/1/1968,37.1482
9/1/1968,37.2889
10/1/1968,37.3629
11/1/1968,37.8462
12/1/1968,37.9657
1/1/1969,38.1954
